split,q0,q1,q2,q3,y
train,143,135,82,209,0
train,161,159,90,201,0
train,137,196,78,184,0
train,94,135,44,179,1
train,202,109,84,209,0
train,157,186,59,198,0
train,120,82,96,199,1
train,236,207,29,187,0
train,225,135,60,226,0
train,151,230,44,105,0
train,206,238,18,104,0
train,135,227,45,102,0
train,152,140,121,196,0
train,164,141,104,217,0
train,202,169,66,206,0
train,178,187,59,162,0
train,204,136,69,224,0
train,87,42,159,180,1
train,10,215,61,107,1
train,169,73,147,190,0
train,140,131,72,185,0
train,64,136,84,188,1
train,173,203,58,158,0
train,89,246,59,18,0
train,211,155,69,221,0
train,201,167,66,206,0
train,192,92,106,223,0
train,97,131,50,190,1
train,98,66,156,214,1
train,177,165,65,189,0
train,180,159,64,210,0
train,84,165,43,132,1
train,111,68,122,211,1
train,76,126,87,230,1
train,99,50,158,227,1
train,135,219,22,86,0
train,76,169,56,171,1
train,139,100,92,175,0
train,51,56,188,154,1
train,80,32,158,158,1
train,87,145,49,168,1
train,62,162,50,119,1
train,142,131,56,204,1
train,213,210,32,161,0
train,154,134,37,229,1
train,200,134,80,246,0
train,159,190,64,209,0
train,187,101,79,190,0
train,204,103,82,210,0
train,86,118,70,202,1
train,199,200,41,208,0
train,155,86,151,155,0
train,83,61,134,183,1
train,90,130,73,193,1
train,145,157,105,211,0
train,174,222,24,134,0
train,185,200,45,206,0
train,131,155,26,184,1
train,60,10,199,133,1
train,103,114,102,211,1
train,97,71,125,202,1
train,196,141,66,213,0
train,105,222,85,76,0
train,145,178,0,57,1
train,136,89,108,175,0
train,124,210,24,140,0
train,193,233,21,103,0
train,100,71,109,202,1
train,145,229,42,105,0
train,196,197,45,205,0
train,195,95,96,195,0
train,89,45,157,192,1
train,136,138,66,188,0
train,141,199,62,189,0
train,206,190,31,194,0
train,202,100,96,218,0
train,65,15,216,184,1
train,163,70,147,188,0
train,97,140,136,199,0
train,87,82,120,219,1
train,139,136,36,212,1
train,224,131,62,224,0
train,157,132,127,191,0
train,141,181,1,56,1
train,103,110,75,213,1
train,164,162,56,192,0
train,51,7,246,133,1
train,203,97,97,204,0
train,129,126,143,209,0
train,171,226,23,129,0
train,218,153,55,234,0
train,162,124,119,228,0
train,200,227,11,84,0
train,208,219,7,98,0
train,167,136,108,191,0
train,178,208,17,168,0
train,231,230,10,105,0
train,180,199,52,208,0
train,202,229,13,95,0
train,87,36,151,155,1
train,209,163,67,213,0
train,226,237,10,103,0
train,142,79,150,132,0
train,207,139,67,216,0
train,214,93,88,206,0
train,21,194,66,43,1
train,83,161,49,128,1
train,59,165,54,109,1
train,110,128,72,208,1
train,42,161,70,168,1
train,75,171,52,106,1
train,28,192,68,45,1
train,133,99,73,230,1
train,46,11,228,163,1
train,156,166,14,161,1
train,150,202,63,128,0
train,183,138,83,241,0
train,111,132,55,209,1
train,118,148,34,180,1
train,140,202,72,130,0
train,172,218,22,168,0
train,114,132,59,193,1
train,134,154,27,184,1
train,131,159,19,136,1
train,93,42,161,196,1
train,128,124,143,213,0
train,122,121,147,210,0
train,71,59,188,185,1
train,39,163,70,165,1
train,185,187,34,183,0
train,222,169,42,218,0
train,236,179,33,208,0
train,114,164,18,118,1
train,122,130,59,195,1
train,194,138,77,213,0
train,111,130,48,198,1
train,154,171,6,138,1
train,52,53,191,161,1
train,167,149,93,208,0
train,195,195,49,209,0
train,127,137,54,197,1
train,222,208,25,158,0
train,200,225,12,95,0
train,167,122,115,191,0
train,198,198,38,195,0
train,165,189,61,152,0
train,82,42,166,192,1
train,47,164,64,171,1
train,120,159,38,146,1
train,197,226,13,97,0
train,196,145,73,243,0
train,216,152,55,234,0
train,70,63,186,176,1
train,212,153,69,217,0
train,106,229,26,62,0
train,187,82,131,212,0
train,215,99,87,211,0
train,108,241,60,40,0
train,175,145,77,208,0
train,162,173,82,216,0
train,117,99,103,233,1
train,81,116,73,202,1
train,136,89,108,175,0
train,16,215,56,114,1
train,139,166,13,152,1
train,194,159,70,208,0
train,147,126,137,183,0
train,193,160,69,211,0
train,96,235,88,127,0
train,168,204,53,155,0
train,242,160,43,232,0
train,96,158,50,144,1
train,106,229,26,62,0
train,120,161,38,132,1
train,99,163,33,147,1
train,134,138,51,199,1
train,114,161,25,130,1
train,122,188,73,171,0
train,94,146,59,172,1
train,132,207,70,121,0
train,111,160,45,161,1
train,78,77,123,209,1
train,193,142,77,229,0
train,93,41,164,195,1
train,86,85,131,197,1
train,195,144,72,237,0
train,170,175,3,135,1
train,182,192,50,185,0
train,135,122,70,219,1
train,179,229,20,105,0
train,179,91,104,202,0
train,221,206,32,182,0
train,165,189,61,151,0
train,104,146,141,216,0
train,116,148,42,171,1
train,175,71,146,203,0
train,165,209,58,146,0
train,172,167,65,189,0
train,76,41,165,184,1
train,104,111,57,194,1
train,177,220,19,167,0
train,63,69,174,194,1
train,79,169,53,114,1
train,156,215,34,183,0
train,154,150,22,200,1
train,88,247,61,18,0
train,82,115,75,206,1
train,85,43,157,187,1
train,137,144,42,185,1
train,201,160,68,212,0
train,194,195,45,189,0
train,74,148,66,188,1
